movie_id,genre
38,Drama
118,Documentary
118,Horror
197,Drama
313,Drama
313,Romance
613,Documentary
742,Documentary
1748,Documentary
2321,Drama
2360,Family
2616,Drama
2685,Comedy
2721,Documentary
3018,Mystery
3143,Comedy
3143,Short
3277,Crime
3277,Drama
3277,Film-Noir
3454,Drama
3564,War
4198,Action
4233,Drama
4407,Action
4407,Drama
4536,Drama
4536,Mystery
4536,Thriller
4733,Drama
4831,Drama
4960,Comedy
5048,Action
5048,Drama
5189,Comedy
5360,Crime
5505,Comedy
5505,Short
5563,Crime
5706,Drama
5706,Romance
5825,Short
5825,Western
5904,Comedy
5904,Romance
6064,Music
6082,Drama
6194,Comedy
6478,Short
6936,Adventure
6936,Comedy
6936,Romance
6936,Sci-Fi
6940,Crime
7164,Adventure
7198,Comedy
7198,Drama
7198,Romance
7211,Crime
7211,Drama
7506,Comedy
7615,Drama
8045,Drama
8086,Drama
8196,Documentary
8583,Drama
8613,Drama
9081,Comedy
9081,Short
9658,Music
9658,Short
9965,Adventure
10017,Comedy
10017,Short
10156,Comedy
10156,Romance
10316,Drama
10341,Drama
10518,Animation
10518,Comedy
10518,Family
10518,Short
10550,Documentary
10648,Thriller
10996,Drama
11079,Short
11468,Comedy
11468,Short
11923,Horror
11923,Short
12105,Drama
12428,Short
12532,Drama
12723,Crime
12723,Drama
12910,Comedy
12910,Drama
13046,Comedy
13182,Drama
13182,Short
13392,Action
13392,Crime
13392,Drama
13392,Family
13462,Drama
13547,Short
13601,Drama
13733,Drama
13733,Short
13742,Comedy
13742,Romance
13951,Drama
14324,Documentary
14324,Short
14624,Crime
14624,Drama
14673,Comedy
15014,Short
15093,Drama
15221,Drama
16114,Drama
16315,Drama
16328,Family
16397,Music
16632,Drama
16632,Short
16712,Drama
16712,Short
16762,Action
16762,Drama
16762,War
16887,Thriller
16990,Drama
17304,Comedy
17375,Action
17375,Adventure
17375,Drama
17375,Fantasy
17534,Drama
17965,Comedy
17965,Fantasy
17965,Short
18119,Drama
18119,Romance
18391,Short
18953,Drama
18953,Thriller
18973,Thriller
19187,Action
19187,Drama
19256,Short
19260,Comedy
19298,Musical
19605,Drama
19658,Documentary
19658,Short
19686,Adventure
20187,Comedy
20357,Drama
20357,Family
20497,Action
20912,Comedy
20968,Documentary
21295,Drama
21295,Music
21372,Documentary
21446,Romance
21555,Comedy
22040,Romance
22198,Thriller
22840,Comedy
22840,Short
22929,Short
22930,Comedy
22930,Short
23318,Documentary
23448,Comedy
23448,Horror
23448,Sci-Fi
23553,Horror
23553,Thriller
24129,Drama
24364,Thriller
24479,Drama
24796,Drama
24889,Drama
25462,Comedy
25462,Short
25462,Thriller
25613,Family
25633,Comedy
