paper_id,word_cited_id
114,word1005
114,word1133
114,word1152
114,word1264
114,word1275
114,word1341
114,word264
114,word293
114,word332
114,word735
114,word8
114,word973
424,word1077
424,word1281
424,word1329
424,word1349
424,word1353
424,word1402
424,word205
424,word232
424,word261
424,word274
424,word275
424,word477
424,word508
424,word541
424,word620
424,word704
424,word736
424,word755
887,word1198
887,word1264
887,word1333
887,word764
887,word957
910,word1075
910,word1111
910,word1178
910,word1264
910,word1267
910,word1382
910,word1423
910,word170
910,word20
910,word253
910,word298
910,word423
910,word472
910,word565
910,word587
910,word68
910,word725
910,word726
910,word82
941,word1132
941,word1178
941,word1204
941,word1231
941,word1264
941,word1267
941,word1287
941,word1300
941,word1326
941,word1390
941,word169
941,word177
941,word227
941,word5
941,word538
941,word55
941,word697
941,word779
941,word79
941,word83
941,word911
941,word930
941,word94
1026,word1139
1026,word1178
1026,word1180
1026,word1202
1026,word1264
1026,word141
1026,word142
1026,word168
1026,word174
1026,word311
1026,word369
1026,word396
1026,word549
1026,word552
1026,word693
1026,word895
1026,word921
1026,word98
1035,word1052
1035,word1170
1035,word12
1035,word1210
1035,word122
1035,word1250
1035,word1264
1035,word1275
1035,word1291
1035,word1305
1035,word1312
1035,word138
1035,word141
1035,word1424
1035,word17
1035,word212
1035,word231
1035,word264
1035,word300
1035,word511
1035,word597
1035,word776
1035,word861
1035,word90
1237,word1076
1237,word1175
1237,word1208
1237,word1264
1237,word1356
1237,word592
1246,word1150
1246,word1264
1246,word508
1246,word582
1246,word702
1246,word725
1365,word1061
1365,word1077
1365,word1139
1365,word1264
1365,word1273
1365,word1281
1365,word1296
1365,word1300
1365,word133
1365,word1354
1365,word1358
1365,word1362
1365,word1385
1365,word446
1365,word541
1365,word544
1365,word559
1365,word589
1365,word86
1365,word974
1385,word1086
1385,word1119
1385,word1264
1385,word1275
1385,word1297
1385,word1304
1385,word1308
1385,word1383
1385,word1407
1385,word20
1385,word346
1385,word383
1385,word396
1385,word448
1385,word450
1385,word451
1385,word511
1385,word549
1385,word678
1385,word723
1385,word861
1481,word1076
1481,word1231
1481,word1264
1481,word1349
1481,word1396
1481,word154
1481,word188
1481,word299
1481,word330
1481,word338
1481,word429
1481,word45
1481,word472
1481,word5
1481,word645
1481,word751
1481,word788
1481,word79
1481,word964
1694,word1022
1694,word1036
1694,word1091
1694,word1178
1694,word1263
1694,word1304
1694,word1321
1694,word1410
1694,word188
1694,word20
1694,word322
1694,word471
1694,word473
1694,word478
1694,word508
1694,word775
1694,word93
1949,word1076
1949,word1172
1949,word1204
1949,word122
1949,word1263
1949,word1264
